"AU","AF",4169.78465662358
"AT","AF",1000.51210405824
"BE","AF",1188.55095018144
"CA","AF",5145.70035028413
"DK","AF",1413.50031277306
"DE","AF",12235.8171773677
"IR","AF",252764.789347489
"NL","AF",3825.82144111315
"NO","AF",1504.35782150632
"PK","AF",178182.327757003
"RU","AF",10004.6797302779
"SA","AF",36715.3712589679
"SE","AF",3275.78095144136
"TJ","AF",3945.69719656518
"TR","AF",1705.36938294731
"GB","AF",7609.2037638286
"US","AF",7185.38840454126
"BE","AL",3861.00522215895
"CA","AL",3218.02216408193
"DE","AL",5112.56992127142
"GR","AL",55091.4980213787
"IT","AL",80003.1623516082
"ME","AL",1218.89684841336
"SE","AL",1008.2336457765
"MK","AL",16402.1053336126
"TR","AL",1534.4825783219
"GB","AL",2878.88322801406
"US","AL",21003.0259968741
"BE","DZ",4180.29856391433
"CA","DZ",13391.8193237419
"FR","DZ",261082.139695078
"DE","DZ",7422.22328473348
"IQ","DZ",1454.79644066865
"IL","DZ",7367.08334259343
"IT","DZ",4936.05065094929
"JO","DZ",4133.95372870517
"LB","DZ",1043.18589376283
"MA","DZ",4012.3602885679
"SO","DZ",1904.91452315087
"ES","DZ",6664.61441166559
"PS","DZ",3808.95148410845
"CH","DZ",3001.10423261899
"TN","DZ",3546.94475412518
"GB","DZ",6305.80091119447
"US","DZ",6199.63476084737
"EH","DZ",29342.3555526964
"CG","AO",4900.32863101192
"CD","AO",25712.2713254223
"FR","AO",2653.91544858368
"NA","AO",4788.52703747355
"PT","AO",19705.590271488
"ZA","AO",4241.22950588292
"GB","AO",1911.05914141901
"US","AO",1643.7851393192
"ZM","AO",2201.32935023787
"BD","AG",1251.6301391665
"US","AG",3289.35014468319
"AU","AR",5569.23108401964
"AT","AR",1176.63570077406
"BO","AR",54992.6050507215
"BR","AR",20691.3578206457
"CA","AR",8566.67835218663
"CL","AR",59439.2965667274
"CN","AR",1587.37733545225
"CO","AR",1277.32644932479
"EC","AR",3311.55409267732
"FR","AR",5212.86075848333
"DE","AR",11498.1742810596
"IL","AR",11352.8512903824
"IT","AR",42544.3572582435
"JP","AR",1445.53119209311
"MX","AR",9705.66898992394
"NL","AR",1441.39399800875
"PA","AR",1101.77699016923
"PY","AR",76709.1857676963
"PE","AR",23658.0098233451
"RU","AR",1526.67950140556
"ZA","AR",1219.46605121666
"ES","AR",45584.8279000061
"SE","AR",1354.52379493412
"CH","AR",4914.72588144405
"GB","AR",4436.74470619521
"US","AR",59706.6632462884
"UY","AR",18768.6693398687
"VE","AR",2905.8694601679
"AZ","AM",29477.3766495893
"BY","AM",1358.52883314579
"BE","AM",1900.14555163232
"FR","AM",1597.15275219437
"GE","AM",2330.54611323349
"DE","AM",1258.81612047579
"GR","AM",1379.40479350457
"KZ","AM",3523.76079989922
"RU","AM",92190.40475915
"UA","AM",9438.26693453475
"US","AM",7274.17994882037
"CO","AW",1123.67881350305
"NL","AW",2368.82617229971
"US","AW",1423.29373872825
"AF","AU",3178.78611507324
"AR","AU",1822.73356361379
"AT","AU",8428.82364239611
"BD","AU",3155.47517382233
"BE","AU",3034.92415783773
"BA","AU",3871.15360551279
"BR","AU",2638.72800827803
"KH","AU",3609.78053870462
"CA","AU",17533.3524154049
"CL","AU",4716.19183760301
"CN","AU",46235.3813364505
"HK","AU",10238.1169119286
"CO","AU",1548.56877638615
"HR","AU",9068.14460703948
"CY","AU",3668.76436706713
"CZ","AU",2644.22558276059
"DK","AU",2844.02907101791
"EG","AU",5098.84256185223
"SV","AU",1098.04726667922
"FJ","AU",6687.70766350327
"FI","AU",3518.00407306122
"FR","AU",6723.47483508859
"DE","AU",34664.0894505279
"GR","AU",18009.516104084
"HU","AU",3442.06275419671
"IN","AU",37517.9198891621
"ID","AU",9247.08263869146
"IR","AU",4575.72053870388
"IQ","AU",5349.25472502928
"IE","AU",9026.11225003778
"IL","AU",2039.28585406282
"IT","AU",31202.6572656395
"JP","AU",7895.66017602483
"KZ","AU",2863.53679413399
"KE","AU",1659.06288272837
"LA","AU",1064.49841847707
"LB","AU",9759.30042873214
"MY","AU",16562.2802916281
"MT","AU",6816.06971773904
"MU","AU",3085.05180629504
"MM","AU",2464.78874962744
"NP","AU",2923.6848648564
"NL","AU",14444.8711509923
"NZ","AU",67432.7731577188
"NO","AU",2918.17419487474
"PK","AU",3715.13347952729
"PG","AU",1126.77171471054
"PE","AU",1224.00450558839
"PH","AU",22142.3988988326
"PL","AU",7885.88634452652
"PT","AU",2313.15053322551
"KR","AU",11143.6031201506
"RO","AU",2197.78997861228
"RU","AU",8068.84191990471
"WS","AU",1690.95437614295
"SA","AU",2275.48510904955
"RS","AU",6327.86122806228
"SG","AU",9361.75454389055
"SK","AU",1855.24649599199
"SI","AU",1912.70617359983
"ZA","AU",23698.2559775558
"ES","AU",4306.6997969017
"LK","AU",9655.32850870366
"SD","AU",2972.14826722177
"SE","AU",3453.60613625604
"CH","AU",9382.0303181063
"SY","AU",1012.75247200898
"MK","AU",5811.3077829872
"TH","AU",6120.20812023479
"TR","AU",15976.7893350734
"UA","AU",2895.88419865511
"AE","AU",1058.26303964457
"GB","AU",174556.463014715
"US","AU",39201.3393359259
"UY","AU",1181.98527372344
"VN","AU",25842.283217507
"ZM","AU",1066.99642191609
"ZW","AU",4085.93663155435
"AU","AT",3150.91975023858
"BE","AT",1061.46251994787
"BA","AT",12145.8027595698
"BR","AT",1166.39995864349
"BG","AT",1816.83687006455
"CA","AT",4389.41025548627
"CN","AT",1717.95011193571
"HR","AT",6159.776873133
